Freeze,Bill Code,Contract Code,Job,Phase,Name,Shared Saving,Category,Phase Type,Type,Method,Current Cost Budget,Spent/Committed Against Base Contract,Spent/Committed Total,Actual Cost,Spent/Committed (In Scope),Complete %,Pending Internal PCI,Pending Internal PCI Cost To Complete,Pending External PCI Cost To Complete,Cost to Complete,Cost to Complete Override,Projected Cost Forecast,Projected Cost Forecast Override,Cost Variance,Pending CO,Pending CO (Incl. Risk),Projected Cost Budget,Spent/Committed (Pending CO),Cost To Complete (Pending CO),Proj Cost Forecast (Incl. Pending CO),Projected Cost Forecast (Incl Pending CO) Override,Cost Variance (Incl Pending CO),Current Bill Budget,Pending CO,Original Cost<br/> Budget Amount,Original Bill<br/> Budget Amount,Pending CO (Incl. Risk),Projected Bill Budget,Billed To Date,Revenue Forecast,Revenue Forecast Override,Revenue Variance,Adj Rev Forecast,Projected Profit,Current Period Cost,Previous Period Cost,Last Period  Forecast,Cost Forercast /<br>Variance,Current Period  Changes,Previous Period  Changes,Current Period  Commitments,Previous Period  Commitments,Shared Saving Amt,Profit Incl Shared Saving,Pending PCI including Risk (revenue),Pending PCI including Risk (Cost),WIP Projected cost forecast including Risk,WIP Projected cost forecast,WIP Revenue amount,WIP adjusted Revenue amount,Adj Rev Forecast <br/> Variance,Billed Budget Qty,Billed Completed Qty,Billed Remaining Qty,Billed Projected Qty,Input Budget Qty,Input Completed Qty,Input Remaining Qty,Input Projected Qty,Input WM Code,Output Budget Qty,Output Completed Qty,Output Remaining Qty,Output Projected Qty,Output WM Code,Committed Amount,Committed Remaining Amount,Spent Against Commitment Amount,Total Cost to Complete Amt,Notes
Y,IPCRP1-0000-0009-L,IPCRP1,IPCRP1,0000-0009,Helical Piles for 10th St Sewer (VECP No. 02),N,L,,UNIT,P,0,506369.53,506369.53,506369.53,506369.53,100,0,0,0,0,Y,506369.53,Y,-506369.53,0,0,0,0,0,506369.53,Y,-506369.53,0,0,0,0,0,0,0,0,N,0,0,-506369.53,0,0,506369.53,0,0,0,0,0,0,-506369.53,0,0,506369.53,506369.53,0,0,0,0,0,3608.5,3608.5,0,3608.5,0,3608.5,HR,38620,30280.25,0,30280.25,LF,0,0,0,0,Magnum Geo-Solution (121K) + PMF KMA (33K).
Y,IPCRP1-0000-0009-M,IPCRP1,IPCRP1,0000-0009,Helical Piles for 10th St Sewer (VECP No. 02),N,M,,UNIT,U,0,3750815.5,3750815.5,3100368,3750815.5,100,0,0,0,-650447.5,Y,3100368,Y,-3100368,0,0,0,0,0,3100368,Y,-3100368,0,0,0,0,0,0,0,0,N,0,0,-3100368,0,0,3100368,0,0,0,0,0,0,-3100368,0,0,3100368,3100368,0,0,0,0,0,0,0,0,2276.67,-2276.67,0,NA,38620,30280.25,0,30280.25,LF,3750815.5,650447.5,3100368,-650447.5,negative CO needed
Y,IPCRP1-0000-0009-S,IPCRP1,IPCRP1,0000-0009,Helical Piles for 10th St Sewer (VECP No. 02),N,S,,UNIT,A,0,168941.75,168941.75,152941.75,168941.75,100,0,0,0,-16000,Y,152941.75,Y,-152941.75,0,0,0,0,0,152941.75,Y,-152941.75,0,0,0,0,0,0,0,0,N,0,0,-152941.75,0,0,152941.75,0,0,0,0,0,0,-152941.75,0,0,152941.75,152941.75,0,0,0,0,0,0,0,0,2680,-2680,0,NA,38620,30280.25,0,30280.25,LF,168941.75,16000,152941.75,-16000,
Y,IPCRP1-0000-0010-L,IPCRP1,IPCRP1,0000-0010,VECP No 1. Sewer Foundation Redesign and Const Sav,N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,0,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0010-R,IPCRP1,IPCRP1,0000-0010,VECP No 1. Sewer Foundation Redesign and Const Sav,N,R,,UNIT,A,0,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,N,0,9091149.43,0,0,0,0,9091149.43,0,0,N,9091149.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9091149.43,0,0,2,2,0,0,2,2,LS,0,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0015-L,IPCRP1,IPCRP1,0000-0015,"SBS Boring Sub, Aquifer Drilling & Testing (ADT)",N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,1,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0015-S,IPCRP1,IPCRP1,0000-0015,"SBS Boring Sub, Aquifer Drilling & Testing (ADT)",N,S,,UNIT,A,0,13800,13800,13800,13800,100,0,0,0,0,Y,13800,Y,-13800,0,0,0,0,0,13800,Y,-13800,0,0,0,0,0,0,0,0,N,0,0,-13800,0,13800,0,-13800,0,0,0,0,0,-13800,0,0,13800,13800,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,LS,0,-13800,13800,0,CO from DDC cancelled on 5/15/2023
Y,IPCRP1-0000-0016-C,IPCRP1,IPCRP1,0000-0016,"SBS Boring Sub, Support",N,C,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0016-E,IPCRP1,IPCRP1,0000-0016,"SBS Boring Sub, Support",N,E,,UNIT,A,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0016-L,IPCRP1,IPCRP1,0000-0016,"SBS Boring Sub, Support",N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,1,0,0,0,LS,0,0,0,0,This is a CO
Y,IPCRP1-0000-0016-S,IPCRP1,IPCRP1,0000-0016,"SBS Boring Sub, Support",N,S,,UNIT,A,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,LS,0,0,0,0,
Y,IPCRP1-0000-0020-L,IPCRP1,IPCRP1,0000-0020,"FDR Settlement, Testing & Replacement",N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,26000,Y,26000,Y,-26000,0,0,0,0,0,26000,Y,-26000,0,0,0,0,0,0,0,0,N,0,0,-26000,0,0,26000,0,0,0,0,0,0,-26000,0,0,26000,26000,0,0,0,0,0,200,200,0,0,200,200,HR,1,0.8,0.2,1,LS,0,0,0,26000,
Y,IPCRP1-0000-0020-S,IPCRP1,IPCRP1,0000-0020,"FDR Settlement, Testing & Replacement",N,S,,UNIT,A,0,54798.35,54798.35,48708.35,54798.35,81.18058333,0,0,0,5201.65,Y,60000,Y,-60000,0,0,0,0,0,60000,Y,-60000,0,0,0,0,0,0,0,0,N,0,0,-60000,0,0,60000,0,0,0,0,0,0,-60000,0,0,60000,60000,0,0,0,0,0,0,0,0,456,-456,0,NA,1,0.8,0.2,1,LS,54798.35,6090,48708.35,5201.65,ADT (54.3K) + PMF KMA (6.7K).
Y,IPCRP1-0000-0025-C,IPCRP1,IPCRP1,0000-0025,Carbon Fiber work in Reach A/B - Sub (CTI),N,C,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,550,0,550,LF,0,0,0,0,
Y,IPCRP1-0000-0025-L,IPCRP1,IPCRP1,0000-0025,Carbon Fiber work in Reach A/B - Sub (CTI),N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,0,550,0,550,LF,0,0,0,0,
Y,IPCRP1-0000-0025-S,IPCRP1,IPCRP1,0000-0025,Carbon Fiber work in Reach A/B - Sub (CTI),N,S,,UNIT,P,0,3875229.2,3875229.2,3875229.2,3875229.2,100,0,0,0,0,Y,3875229.2,Y,-3875229.2,0,0,0,0,0,3875229.2,Y,-3875229.2,0,0,-3965136.16,0,0,0,0,0,N,0,0,-3875229.2,0,0,3875229.2,0,0,0,0,0,0,-3875229.2,0,0,3875229.2,3875229.2,0,0,0,0,0,0,0,0,553.76,-553.76,0,NA,0,550,0,550,LF,3875229.2,0,3875229.2,0,"CTI SCO#7 ($3,814,651.50) & SCO#8 ($14,970.77), plus Pinnacle SCO #6 ($150,000.00) plus SCO #7 (-$59,696.04). Pinnacle SCO#9 moves $45,197.03 cost/commit from this code to cc:0000-0028."
Y,IPCRP1-0000-0026-L,IPCRP1,IPCRP1,0000-0026,Carbon Fiber work in Reach A/B - Support,N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,-93426.4,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,0,0,0,0,SH,0,0,0,0,
Y,IPCRP1-0000-0026-S,IPCRP1,IPCRP1,0000-0026,Carbon Fiber work in Reach A/B - Support,N,S,,UNIT,A,0,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,N,0,0,0,-12712.6,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,SH,0,0,0,0,
Y,IPCRP1-0000-0027-C,IPCRP1,IPCRP1,0000-0027,Carbon Fiber work in Reach A/B - Exc & Sheet,N,C,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,-304481.93,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,585,0,585,LF,0,0,0,0,
Y,IPCRP1-0000-0027-L,IPCRP1,IPCRP1,0000-0027,Carbon Fiber work in Reach A/B - Exc & Sheet,N,L,,UNIT,P,0,213501.66,213501.66,213501.66,213501.66,100,0,0,0,0,Y,213501.66,Y,-213501.66,0,0,0,0,0,213501.66,Y,-213501.66,0,0,-678477.66,0,0,0,0,0,N,0,0,-213501.66,0,0,213501.66,0,0,0,0,0,0,-213501.66,0,0,213501.66,213501.66,0,0,0,0,0,1627,1627,0,1627,0,1627,HR,0,585,0,585,LF,0,0,0,0,
Y,IPCRP1-0000-0027-S,IPCRP1,IPCRP1,0000-0027,Carbon Fiber work in Reach A/B - Exc & Sheet,N,S,,UNIT,A,0,238.37,238.37,238.37,238.37,100,0,0,0,0,N,238.37,N,-238.37,0,0,0,0,0,238.37,N,-238.37,0,0,-52007.2,0,0,0,0,0,N,0,0,-238.37,0,0,238.37,0,0,0,0,0,0,-238.37,0,0,238.37,238.37,0,0,0,0,0,0,0,0,2,-2,0,NA,0,585,0,585,LF,238.37,0,238.37,0,
Y,IPCRP1-0000-0028-L,IPCRP1,IPCRP1,0000-0028,Carbon Fiber work in Reach A/B - Backfill & Pull,N,L,,UNIT,P,0,41230.79,41230.79,41230.79,41230.79,100,0,0,0,0,Y,41230.79,Y,-41230.79,0,0,0,0,0,41230.79,Y,-41230.79,0,0,-369424.42,0,0,0,0,0,N,0,0,-41230.79,0,0,41230.79,0,0,0,0,0,0,-41230.79,0,0,41230.79,41230.79,0,0,0,0,0,294,294,0,294,0,294,HR,0,562,0,562,LF,0,0,0,0,
Y,IPCRP1-0000-0028-S,IPCRP1,IPCRP1,0000-0028,Carbon Fiber work in Reach A/B - Backfill & Pull,N,S,,UNIT,A,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,-32648.8,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,562,0,562,LF,0,0,0,0,
Y,IPCRP1-0000-0030-C,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,C,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,0,1,0,1,LS,0,0,0,0,
Y,IPCRP1-0000-0030-E,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,E,,UNIT,A,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,0,1,0,1,LS,0,0,0,0,
Y,IPCRP1-0000-0030-L,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,L,,UNIT,P,0,37995.14,37995.14,37995.14,37995.14,100,0,0,0,0,Y,37995.14,Y,-37995.14,0,0,0,0,0,37995.14,Y,-37995.14,0,0,0,0,0,0,0,0,N,0,0,-37995.14,0,0,37995.14,0,0,0,0,0,0,-37995.14,0,0,37995.14,37995.14,0,0,0,0,0,300,300,0,300,0,300,HR,0,1,0,1,LS,0,0,0,0,This is PCO#087.
Y,IPCRP1-0000-0030-M,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,M,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,0,1,0,1,LS,0,0,0,0,
Y,IPCRP1-0000-0030-R,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,R,,UNIT,A,0,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,0,1,0,1,LS,0,0,0,0,
Y,IPCRP1-0000-0030-S,IPCRP1,IPCRP1,0000-0030,Montgomery St Permanent DOT Fiber Work (T&M),N,S,,UNIT,A,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,0,1,0,1,LS,0,0,0,0,Added micropiles to Keller subcontract.  GO (12/15)  DONE
Y,IPCRP1-0000-0031-L,IPCRP1,IPCRP1,0000-0031,"CF Wrap Part 2, Reach A/B, sub (CTI)",N,L,,UNIT,P,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HR,0,940,0,940,LF,0,0,0,0,"CTI SCO#9 ($3,063,194.00) & SCO#10 ($14,721.81"
Y,IPCRP1-0000-0031-S,IPCRP1,IPCRP1,0000-0031,"CF Wrap Part 2, Reach A/B, sub (CTI)",N,S,,UNIT,A,0,3100153.31,3100153.31,3100153.31,3100153.31,100,0,0,0,0,Y,3100153.31,Y,-3100153.31,0,0,0,0,0,3100153.31,Y,-3100153.31,0,0,0,0,0,0,0,0,N,0,0,-3100153.31,0,0,3100153.31,0,0,0,0,0,0,-3100153.31,0,0,3100153.31,3100153.31,0,0,0,0,0,0,0,0,1339,-1339,0,NA,0,940,0,940,LF,3100153.31,0,3100153.31,0,"CTI SCO#9 ($3,063,194.00) & SCO#10 ($14,721.81"
Y,IPCRP1-0000-0032-L,IPCRP1,IPCRP1,0000-0032,"CF Wrap Part 2, Reach A/B, sub support",N,L,,UNIT,P,0,2226.6,2226.6,2226.6,2226.6,100,0,0,0,0,Y,2226.6,Y,-2226.6,0,0,0,0,0,2226.6,Y,-2226.6,0,0,0,0,0,0,0,0,N,0,0,-2226.6,0,0,2226.6,0,0,0,0,0,0,-2226.6,0,0,2226.6,2226.6,0,0,0,0,0,18,18,0,18,0,18,HR,0,2,0,2,SH,0,0,0,0,
Y,IPCRP1-0000-0032-S,IPCRP1,IPCRP1,0000-0032,"CF Wrap Part 2, Reach A/B, sub support",N,S,,UNIT,A,0,117364.83,117364.83,117364.83,117364.83,100,0,0,0,0,Y,117364.83,Y,-117364.83,0,0,0,0,0,117364.83,Y,-117364.83,0,0,0,0,0,0,0,0,N,0,0,-117364.83,0,0,117364.83,0,0,0,0,0,0,-117364.83,0,0,117364.83,117364.83,0,0,0,0,0,0,0,0,2,-2,0,NA,0,2,0,2,SH,117364.83,0,117364.83,0,
Y,IPCRP1-0000-0033-C,IPCRP1,IPCRP1,0000-0033,"CF Wrap Part 2, Reach A/B - excavate & sheet",N,C,,UNIT,U,0,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,470,0,470,LF,0,0,0,0,"Change PMF (Consumables) from $408,656.46 to $200,000.00"
Y,IPCRP1-0000-0033-L,IPCRP1,IPCRP1,0000-0033,"CF Wrap Part 2, Reach A/B - excavate & sheet",N,L,,UNIT,P,0,202523.44,202523.44,202523.44,202523.44,100,0,0,0,0,Y,202523.44,Y,-202523.44,0,0,0,0,0,202523.44,Y,-202523.44,0,0,0,0,0,0,0,0,N,0,0,-202523.44,0,0,202523.44,0,0,0,0,0,0,-202523.44,0,0,202523.44,202523.44,0,0,0,0,0,1522.5,1522.5,0,1522.5,0,1522.5,HR,0,470,0,470,LF,0,0,0,0,"Change PMF (MH) from 3,344.03 to 1,923.00,  Change PMF (Labor) from $512,066.72 to $250,000.00"
Y,IPCRP1-0000-0033-S,IPCRP1,IPCRP1,0000-0033,"CF Wrap Part 2, Reach A/B - excavate & sheet",N,S,,UNIT,A,0,17091.11,17091.11,17091.11,17091.11,100,0,0,0,0,Y,17091.11,Y,-17091.11,0,0,0,0,0,17091.11,Y,-17091.11,0,0,0,0,0,0,0,0,N,0,0,-17091.11,0,0,17091.11,0,0,0,0,0,0,-17091.11,0,0,17091.11,17091.11,0,0,0,0,0,0,0,0,136,-136,0,NA,0,470,0,470,LF,17091.11,0,17091.11,0,
Y,IPCRP1-0000-0034-L,IPCRP1,IPCRP1,0000-0034,"CF Wrap Part 2, Reach A-B, backfill & pull sht",N,L,,UNIT,P,0,76993.35,76993.35,76993.35,76993.35,100,0,0,0,0,Y,76993.35,Y,-76993.35,0,0,0,0,0,76993.35,Y,-76993.35,0,0,0,0,0,0,0,0,N,0,0,-76993.35,0,0,76993.35,0,0,0,0,0,0,-76993.35,0,0,76993.35,76993.35,0,0,0,0,0,597.5,597.5,0,597.5,0,597.5,HR,0,470,0,470,LF,0,0,0,0,"Change PMF (MH) from 1,571.00 to 961.00,  Change PMF (Labor) from $235,972.92 to $125,000.00"
